Name,Price,Reviews,URL,Price_Segment,Est_Revenue
ChArmkpR Mens T-shirts Japanese Letter Print Curved Hem Casual Short Sleeve Tshirts - Coffee S,7.73,5.0,https://www.banggood.com/ChArmkpR-Mens-T-shirts-Japanese-Letter-Print-Curved-Hem-Casual-Short-Sleeve-Tshirts-p-1987025.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366287841,Low Budget,38.650000000000006
INCERUN Mens Ruched Textured Long-Sleeve T-Shirt Comfortable Quick Dry Crew Neck Top for Male S-5XL - Black XL,13.93,0.0,https://www.banggood.com/INCERUN-Mens-Ruched-Textured-Long-Sleeve-T-Shirt-Comfortable-Quick-Dry-Crew-Neck-Top-for-Male-S-5XL-p-2023489.html?rmmds=MenNew&cur_warehouse=CN&ID=62876216287830,Low Budget,0.0
INCERUN Men Pants Solid Color High-waisted Straight-legged Trousers Comfy Button Loose Fit Men's Black Pant - Blue S,16.25,0.0,https://www.banggood.com/INCERUN-Men-Pants-Solid-Color-High-waisted-Straight-legged-Trousers-Comfy-Button-Loose-Fit-Mens-Black-Pant-p-2013329.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876366287832,Low Budget,0.0
INCERUN Men's Casual T Shirt Loose Long Sleeve Crew Neck T-shirt Fashion Solid Color Breathable Perspective Male Shirts S-5XL - Black S,14.7,0.0,https://www.banggood.com/INCERUN-Mens-Casual-T-Shirt-Loose-Long-Sleeve-Crew-Neck-T-shirt-Fashion-Solid-Color-Breathable-Perspective-Male-Shirts-S-5XL-p-2016586.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876366287830,Low Budget,0.0
INCERUN Stylish Men's Color-block Striped Long-sleeve Shirt Fashion Design Lapel Top Large Size Loose Fit Men S-5XL - Black 3XL,20.12,0.0,https://www.banggood.com/INCERUN-Stylish-Mens-Color-block-Striped-Long-sleeve-Shirt-Fashion-Design-Lapel-Top-Large-Size-Loose-Fit-Men-S-5XL-p-2022323.html?rmmds=MenNew&cur_warehouse=CN&ID=62876226287830,Low Budget,0.0
INCERUN Mens Slogan Graphic Long Sleeve T-Shirt Fashion Print Tshirt Comftable Crew Neck Top for Male Loose Fit Spring Fall - Apricot S,20.89,0.0,https://www.banggood.com/INCERUN-Mens-Slogan-Graphic-Long-Sleeve-T-Shirt-Fashion-Print-Tshirt-Comftable-Crew-Neck-Top-for-Male-Loose-Fit-Spring-Fall-p-2024678.html?rmmds=MenTopseller&cur_warehouse=CN&ID=62876366288310,Low Budget,0.0
INCERUN Mens Solid Fashion Irregular Slanting Lapel Sleeveless Waistcoat - Black XL,14.7,0.0,https://www.banggood.com/INCERUN-Mens-Solid-Fashion-Irregular-Slanting-Lapel-Sleeveless-Waistcoat-p-2016770.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876216287830,Low Budget,0.0
INCERUN Mens Pant High Rise Lace Up Long Trousers Fashion Flowers Print Wide Leg Pants Leisure Men Bottoms - Pink S,19.35,0.0,https://www.banggood.com/INCERUN-Mens-Pant-High-Rise-Lace-Up-Long-Trousers-Fashion-Flowers-Print-Wide-Leg-Pants-Leisure-Men-Bottoms-p-2013393.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876366287840,Low Budget,0.0
INCERUN Mens Fine Glittering Mesh Transparent Solid Color Tank Top - White 2XL,10.83,0.0,https://www.banggood.com/INCERUN-Mens-Fine-Glittering-Mesh-Transparent-Solid-Color-Tank-Top-p-2004655.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876246287845,Low Budget,0.0
INCERUN Mens Solid V-Neck Short Sleeve T-Shirt Fashion Comfortable Fabric See-through Tshirt for Men - Green 5XL,16.25,0.0,https://www.banggood.com/INCERUN-Mens-Solid-V-Neck-Short-Sleeve-T-Shirt-Fashion-Comfortable-Fabric-See-through-Tshirt-for-Men-p-2013501.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62878376287980,Low Budget,0.0
INCERUN Men's Oversized Knitted Sweater Digital Print Long-Sleeve Crew Neck Top Male Large Size S-5XL - Black S,25.54,0.0,https://www.banggood.com/INCERUN-Mens-Oversized-Knitted-Sweater-Digital-Print-Long-Sleeve-Crew-Neck-Top-Male-Large-Size-S-5XL-p-2023408.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366287830,Low Budget,0.0
4 Pcs Men's Underwear Fashion Striped Boxer Briefs Trend Pure Cotton Boxing Shorts Comfy Breathable Men Underwear Set Plus Size L-5XL - #01 XL,9.51,10.0,https://www.banggood.com/4-Pcs-Mens-Underwear-Fashion-Striped-Boxer-Briefs-Trend-Pure-Cotton-Boxing-Shorts-Comfy-Breathable-Men-Underwear-Set-Plus-Size-L-5XL-p-2019547.html?rmmds=MenTopseller&cur_warehouse=CN&ID=62876216299808,Low Budget,95.1
"INCERUN Men's Two-piece Outfits, Suit Collar Draped Short Sleeve Shirt + Pant, Casual Comfy Loose Suits For Summer - Black S",35.6,0.0,"https://www.banggood.com/INCERUN-Mens-Two-piece-Outfits,Suit-Collar-Draped-Short-Sleeve-Shirt-+-Pant,Casual-Comfy-Loose-Suits-For-Summer-p-2015742.html?rmmds=MenRecommend&cur_warehouse=CN&ID=61571936287636",Low Budget,0.0
INCERUN Mens Color Block Long-Sleeve Pullover Hoodie Casual Comfortable Crew Neck Top for Male S-5XL - Black M,19.35,0.0,https://www.banggood.com/INCERUN-Mens-Color-Block-Long-Sleeve-Pullover-Hoodie-Casual-Comfortable-Crew-Neck-Top-for-Male-S-5XL-p-2023830.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876386287830,Low Budget,0.0
"5 Pairs Men's Colorful Striped Funny Novelty Cotton Dress Socks, Cool Design Rich Funky Crew Socks for Men Comfy Breathable Long Socks - #01",20.89,7.0,"https://www.banggood.com/5-Pairs-Mens-Colorful-Striped-Funny-Novelty-Cotton-Dress-Socks,Cool-Design-Rich-Funky-Crew-Socks-for-Men-Comfy-Breathable-Long-Socks-p-2019777.html?rmmds=MenRecommend&cur_warehouse=CN&ID=6299808",Low Budget,146.23000000000002
Men Solid Front Zipper Round Neck Short Sleeve Casual Robe Shirts - White S,18.57,0.0,https://www.banggood.com/Men-Solid-Front-Zipper-Round-Neck-Short-Sleeve-Casual-Robe-Shirts-p-1798470.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366287845,Low Budget,0.0
INCERUN Mens Plaid Patchwork Long Sleeve Shirt Fashion Classic Checkered Lace Up Strap Long Shirt for Men - Red S,31.73,0.0,https://www.banggood.com/INCERUN-Mens-Plaid-Patchwork-Long-Sleeve-Shirt-Fashion-Classic-Checkered-Lace-Up-Strap-Long-Shirt-for-Men-p-2025193.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876366287842,Low Budget,0.0
Mens Solid Drop Shoulder Casual Two Piece Outfits - Black 3XL,25.54,1.0,https://www.banggood.com/Mens-Solid-Drop-Shoulder-Casual-Two-Piece-Outfits-p-1880969.html?rmmds=MenNew&cur_warehouse=CN&ID=62876226287830,Low Budget,25.54
INCERUN Mens Contrast Color Workwear Pocket Pant Fashion Loose Fit Elastic Waist Drawstring Trousers S-5XL - Black M,23.99,0.0,https://www.banggood.com/INCERUN-Mens-Contrast-Color-Workwear-Pocket-Pant-Fashion-Loose-Fit-Elastic-Waist-Drawstring-Trousers-S-5XL-p-2022947.html?rmmds=MenNew&cur_warehouse=CN&ID=62876386287830,Low Budget,0.0
INCERUN Men Tank Tops Mesh Transparent O-neck Sleeveless Vests Streetwear Summer Breathable Fashion Men Clothing S-5XL - Black L,13.15,0.0,https://www.banggood.com/INCERUN-Men-Tank-Tops-Mesh-Transparent-O-neck-Sleeveless-Vests-Streetwear-Summer-Breathable-Fashion-Men-Clothing-S-5XL-p-1985705.html?rmmds=MenNew&cur_warehouse=CN&ID=62876206287830,Low Budget,0.0
INCERUN Men Tanks Top Blue White Knitted Undershirt with Horizontal Stripes Buckle Back High Stretch Vest for Men - White 2XL,13.93,1.0,https://www.banggood.com/INCERUN-Men-Tanks-Top-Blue-White-Knitted-Undershirt-with-Horizontal-Stripes-Buckle-Back-High-Stretch-Vest-for-Men-p-1989950.html?rmmds=MenNew&cur_warehouse=CN&ID=62876246287845,Low Budget,13.93
INCERUN Mens Thin Knitted Fabric Cut-off Short Sleeve Tops Lapel Shirts - White XL,14.7,0.0,https://www.banggood.com/INCERUN-Mens-Thin-Knitted-Fabric-Cut-off-Short-Sleeve-Tops-Lapel-Shirts-p-2013392.html?rmmds=MenRecommend&cur_warehouse=CN&ID=62876216287845,Low Budget,0.0
