Category,Name,Price,Rating,Reviews,URL
Electronics,LILYGO® T-Deck Pro ESP32-S3 Development Board 4G/PCM5102A/LoRa/GPS E-Paper Touchscreen QWIIC Interface IoT Communication Device - PCM5102A (Audio) SX1262 433MHz,£89.02,,0,https://www.banggood.com/LILYGO-T-Deck-Pro-ESP32-S3-Development-Board-4G-or-PCM5102A-or-LoRa-or-GPS-E-Paper-Touchscreen-QWIIC-Interface-IoT-Communication-Device-p-2036455.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=63241736333564
Electronics,BAOFENG 2 Pins Plug USB Programming Cable for Walkie Talkie for UV-5R serise BF-888S Walkie Talkie Accessories,£4.25,,251,https://www.banggood.com/BAOFENG-2-Pins-Plug-USB-Programming-Cable-for-Walkie-Talkie-for-UV-5R-serise-BF-888S-Walkie-Talkie-Accessories-p-1738108.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0
Electronics,Geekcreit® 6DOF MPU-6050 3 Axis Gyro With Accelerometer Sensor Module - 2pcs,£6.19,,908,https://www.banggood.com/Geekcreit-6DOF-MPU-6050-3-Axis-Gyro-With-Accelerometer-Sensor-Module-p-80862.html?rmmds=ElectronicsFlashDeals
Electronics,RANA Z Axis Lift Height Adjuster 55mm Stroke Sheet Metal Design Laser Module Focusing Control TT-5.5S TTS-25 TTS-55 TTS-10 Engraving Machine Accessory - Black,£13.15,,0,https://www.banggood.com/RANA-Z-Axis-Lift-Height-Adjuster-55mm-Stroke-Sheet-Metal-Design-Laser-Module-Focusing-Control-TT-5_5S-TTS-25-TTS-55-TTS-10-Engraving-Machine-Accessory-p-2040923.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287830
Electronics,Portable MSK-V6-2 Vertical Antenna Balun Base 7-30MHz SWR ≤1.5 M10 SO239 Connector for Multi-Band Communication - Silver,£55.73,,0,https://www.banggood.com/Portable-MSK-V6-2-Vertical-Antenna-Balun-Base-7-30MHz-SWR-1_5-M10-SO239-Connector-for-Multi-Band-Communication-p-2044163.html?rmmds=ElectronicsRecommendation&cur_warehouse=CN&ID=6287853
Electronics,0.5-470MHz RF Signal Generator for FM Walkie-Talkie Sensitivity Test with CTCSS & 800Hz Modulation -120dBm Accuracy - Blue,£41.02,,3,https://www.banggood.com/0_5-470MHz-RF-Signal-Generator-for-FM-Walkie-Talkie-Sensitivity-Test-with-CTCSS-and-800Hz-Modulation-120dBm-Accuracy-p-2036459.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=229
Electronics,KEWEISI KWS-1902L Type-C Tester 4-30V 0-8A Power Meter USB Fast Charging Monitor Bidirectional Testing TFT Display High Precision Voltage Current Measurement - White,£7.42,,2,https://www.banggood.com/KEWEISI-KWS-1902L-Type-C-Tester-4-30V-0-8A-Power-Meter-USB-Fast-Charging-Monitor-Bidirectional-Testing-TFT-Display-High-Precision-Voltage-Current-Measurement-p-2041769.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287845
Electronics,KWS-MX23 USB Digital Display DC Voltage Ammeter Power Meter Voltmeter Current Meter Cell Phone Charging USB-A Tester Detector DC 4-30V - Black,£7.89,,9,https://www.banggood.com/KWS-MX23-USB-Digital-Display-DC-Voltage-Ammeter-Power-Meter-Voltmeter-Current-Meter-Cell-Phone-Charging-USB-A-Tester-Detector-DC-4-30V-p-2027462.html?rmmds=ElectronicsRecommendation&cur_warehouse=CN&ID=6287830
Electronics,HackRF One Bareboard NewMayhem Firmware V1.7.3 Hackrf One 1MHz-6GHz Software Defined Radio,£74.31,,8,https://www.banggood.com/HackRF-One-Bareboard-NewMayhem-Firmware-V1_7_3-Hackrf-One-1MHz-6GHz-Software-Defined-Radio-p-1998396.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0
Electronics,HU-069B CW Morse Code Decoder USB 5V Power Supply Adjustable Speed Audio Frequency Input External CW Key Buzzer Sound Radio Communication Kit - Unsoldered Version,£10.06,,28,https://www.banggood.com/HU-069B-CW-Morse-Code-Decoder-USB-5V-Power-Supply-Adjustable-Speed-Audio-Frequency-Input-External-CW-Key-Buzzer-Sound-Radio-Communication-Kit-p-2020320.html?rmmds=ElectronicsRecommendation&cur_warehouse=CN&ID=6321622
